ID;TAG;RULE;DESCRIPTION;CATEGORIES;COMMENT
GSG-481;Formatting;Enum classes;Enumwerte in einer Zeile, oder mit Zeilenumbruch nach jedem Komma;Style, Enums;-
GSG-482;Formatting;Variable declarations;Nur eine Variable je Anweisung deklarieren und unmittelbar vor erster Verwendung;Variables;-
GSG-483;Formmating;Arrays;Eckige Klammern immer am Typ und nicht am variablennamen;Variables, Arrays;-
GSG-484;Formatting;Switch Statements;Jedes Switch muss default case haben, case anweisungen werden eingerückt und jeder fall through wird kommentiert;Conditionals, Comments;-
GSG-485;Formatting;Annotations;Annotationen an Klassen, Methoden oder Konstruktoren hinter Javadoc, je eine Annotation pro Zeile;Annotations;-
GSG-486;Formatting;Comments;Kommentare genauso einrücken wie umgebender Code;Comments, Style;-
GSG-487;Formatting;Modifiers;Modifiers in folgender Reihenfolge: public protected private abstract default static final transient volatile synchronized native strictfp;Style;-
GSG-488;Formatting;Numeric Literals;Literale vom Typ long mit groß geschriebenem L als Suffix;Style, Datatypes;-
GSG-510;Naming;Nur ASCII Buchstaben und Zahlen in Namen verwenden;Naming;-
GSG-521;Naming;Package names;Package namen komplett klein;Naming, Structure;-
GSG-522;Naming;Class names;Klassennamen Anfang groß und jedes neue Wort anfangs groß;Naming, Classes;-
GSG-523;Naming;Method names;Methodennamen Anfang klein und jedes neue Wort anfangs groß;Naming, Methods;-
GSG-524;Naming;Constant names;Konstantennamen komplett groß mit Unterstrichen zwischen den Wörtern;Naming, Constants;-
GSG-525;Naming;Non-constant field names;Globale Variablennamen Anfang klein und jedes neue Wort anfangs groß;Naming, Variables;-
GSG-526;Naming;Parameter names;Parameternamen Anfang klein und jedes neue Wort anfangs groß;Naming, Methods;-
GSG-527;Naming;Local variable names;Lokale Variablennamen Anfang klein und jedes neue Wort anfangs groß;Naming, Variables;-
GSG-528;Naming;Type variable names;Typvariablen sind entweder einzelner großer Buchstabe (eventuell mit Ziffer) oder Klassenname + T;Naming;-
GSG-530;Naming;Camel case: defined;Abkürzungen in CamelCase Bezeichnern nur mit erstem Buchstaben groß schreiben wie normales wort;Naming;-
GSG-610;Programming;@Override: always used;Überschreibende Methoden mit @Override markieren;Annotations, Inheritance;-
GSG-620;Programming;Caught exceptions: not ignored;Keine leeren Catch-Anweisungen, außer in Tests;Exceptions, Tests;-
GSG-630;Programming;Static Members: qualified using class;Statische Methoden und variablen nur über Klassennamen referenzieren, nicht über Instanzen;Methods, Variables;-
GSG-640;Programming;Finalizers: not used;finalize() Methode nicht überschreiben;Methods, Inheritance;-
GSG-711;Javadoc;General form;Start und Ende von Javadoc Kommentar in eigene Zeile, oder alles in eine Zeile;Comments;-
GSG-712;Javadoc;Paragraphs;Zwischen Absätzen in Javadoc eine Leerzeile nur mit *;Comments;-
GSG-713;Javadoc;Block tags;Tags in Javadoc-Kommentaren in der Reihenfolge: @param, @return, @throws, @deprecated;Comments;-
GSG-720;Javadoc;The summary fragmnet;Erste Zeile eines Javadoc Kommentars ist Zusammenfassung ohne Subject abgeschlossen mit einem .;Comments;-
GSG-730;Javadoc;Where Javadoc is used;Javadoc mindestens an jeder öffentlichen Klasse und allen öffentlichen "Class-Members";Comments;-
GSG-731;Javadoc;Exception: self-explanatory methods;Kein Javadoc an trivialen Methoden (getter / setter);Comments;-
GSG-732;Javadoc;Exception: overrides;Überschriebene Methoden brauchen kein Javadoc wenn funktion nicht verändert wird;Comments;UNAUTOMATIC
GSG-734;Javadoc;Non-required Javadoc;Nicht öffentliche Klassen und "Class-Members" dürfen Javadoc haben;Comments;- 
